CASE;EM05_01;EM06_03;SubjBetter;SubjUsable;SubjLearn;SubjSem
107;3;5;;;;
118;5;4;4;4;4;4
122;5;5;4;4;4;4
123;5;5;4;4;4;1
124;5;5;4;4;4;4
125;4;4;4;4;4;4
126;5;5;4;4;6;2
136;5;5;1;1;1;1
137;5;5;4;3;7;1
138;5;5;4;4;4;6
140;5;5;1;3;1;3
141;5;5;1;7;1;7
158;5;5;;;;
162;5;5;7;7;4;1
163;5;5;7;7;7;1
164;5;5;7;7;7;2
165;3;5;7;7;4;1
167;5;5;4;5;4;7
174;4;5;;;;
175;3;2;7;4;7;1
179;5;5;7;7;7;1
180;4;5;7;6;7;3
181;5;4;6;4;6;1
182;5;5;7;7;7;2
190;4;4;7;7;7;3
191;4;4;7;4;7;1
192;4;3;7;7;7;7
193;5;5;4;6;4;1
194;5;5;7;7;7;7
201;5;5;2;6;2;2
203;5;4;2;2;2;3
204;5;4;5;7;5;4
205;5;5;7;4;7;2
206;5;5;5;7;6;2
207;5;5;7;4;6;1
231;5;5;7;5;7;4
232;2;2;4;2;5;3
233;5;5;4;7;4;1
234;5;5;4;7;7;1
235;5;5;7;7;7;4
236;5;5;7;7;7;2
237;5;5;2;4;2;7
249;5;5;7;7;7;3
250;5;5;6;6;5;2
251;5;5;7;4;7;7
252;5;5;2;1;1;2
253;3;4;4;7;4;1
254;5;5;3;6;5;3
264;5;5;2;4;4;7
265;5;5;7;7;7;2
266;5;5;2;6;2;1
267;5;4;1;7;1;2
268;5;5;4;4;4;1
269;4;5;2;1;4;1
276;5;5;4;3;4;3
277;5;5;7;6;4;5
278;5;5;4;4;4;2
279;5;5;5;2;6;1
327;4;5;;;;
328;5;5;;;;
330;5;5;1;4;1;6
331;3;3;4;3;4;4
333;3;3;;;;
335;4;4;5;5;5;2
336;5;5;4;2;6;3
337;5;5;1;4;1;1
338;5;5;4;4;4;7
339;4;5;4;4;5;7
347;3;2;;;;
358;4;5;5;3;6;2
359;5;5;6;7;6;1
360;5;4;6;7;7;1
361;4;4;4;3;4;1
362;5;5;4;4;4;6
363;4;4;1;1;1;5
377;5;5;7;7;7;1
378;5;5;7;7;7;7
379;5;4;7;5;4;7
380;5;5;3;7;4;2
381;5;5;2;4;1;7
382;4;5;6;5;6;2
391;4;5;5;4;6;2
392;5;5;3;4;4;2
393;5;4;4;6;4;3
394;5;5;7;7;1;7
395;5;5;6;5;4;1
405;5;5;;;;
407;4;5;1;4;1;2
408;5;5;6;6;6;2
409;5;5;5;1;4;7
410;5;5;1;1;4;1
411;4;5;4;5;4;6
423;5;5;4;4;4;1
424;5;5;4;4;4;1
425;5;5;7;6;7;3
439;5;5;4;4;4;1
441;5;5;4;7;6;3
442;4;4;4;6;5;3
443;5;5;6;4;5;2
444;5;4;7;7;7;4
445;5;4;5;5;5;1